0,1,2,3,4
El Canto,Burgos,Valle de Manzanedo,ACCIONA ENERGÍA,15.18
El Pulpal,Soria,Hinojosa del Campo. Ólvega y Pozalmuro,ACCIONA ENERGÍA,17.25
El Tablado,Soria,Borobia y Beratón,SISTEMAS ENERGÉTICOS EL MONCAYO. S.L.,19.80
El Toranzo,Soria,Cueva de Agreda y Borobia,HIDROMEDIA,18.00
La Lora,Burgos,La Riba de Valdelucio,MADE TECNOLOGÍAS RENOVABLES. S.A.,0.60
La Torada,Burgos,Merindad de Valdivieso,ACCIONA ENERGÍA,9.24
Peña Alta,Burgos,Merindad de Valdivieso,ACCIONA ENERGÍA,13.20
Sierra del Madero I,Soria,Ólvega y Noviercas,P.E.S. MADERO,14.85
Aldeavieja,Ávila,Sta. Maria del Cubillo,ENEL GREEN POWER ESPAÑA S.L.,14.52
Ávila,Ávila,Ávila y Tornadizos,Parque eólico Altos de Voltoya. S.A.,11.88
Cruz de Hierro,Ávila,Sta. Maria del Cubillo,Parque eólico Altos de Voltoya. S.A.,14.52
El Cerro,Burgos,Valle de Sedano y los Altos de Dobro,S.E. VALLE DE SEDANO. S.A.,19.80
La Mesa,Burgos,Los Altos,BURGALESA,9.00
Ojos Albos,Ávila,Ojos Albos,Parque eólico Altos de Voltoya. S.A.,14.52
Oncala,Soria,Oncala,CETASA,24.75
Pozalmuro I+D,Soria,Pozalmuro,EÓLICA POZALMURO,1.50
Sierra del Madero II,Soria,Ólvega y Noviercas,P.E.S. MADERO,13.86
Aguallal,Zamora,Lubián y Pías,ACCIONA ENERGÍA,11.88
Corral Nuevo,Burgos,Ayoluengo,DYTA,5.28
El Canto Ampliación,Burgos,Valle de Manzanedo,ACCIONA ENERGÍA,5.10
El Pical,Palencia,Barruelo de Santullán. Brañosera y Aguilar de Campoo,ACCIONA ENERGÍA,19.80
El Toranzo Ampliación,Soria,Ólvega y Borobia,HIDROMEDIA,7.26
La Gamoneda,Zamora,Lubián y Hermisende,ACCIONA ENERGÍA,19.80
